602PT.bam	667PT.bam	M17PT.bam	M20PT.bam	M37PT.bam	M43PT.bam	M49PT.bam	M50PT.bam	M57PT.bam	M60PT.bam	M61PT.bam	M62PT.bam	M69PT.bam	M77PT.bam	M8PT.bam	M97PT.bam	M99PT.bam
ENSG00000009307	58072	31363	48061	31164	36124	46169	35297	24202	21754	20759	31191	24243	34729	23230	38451	11799	14409
ENSG00000009335	5977	7454	7589	11186	8299	9949	8839	6323	5584	8083	5391	4073	7247	6712	5113	5904	4528
ENSG00000009413	3016	2096	1578	2521	1755	3285	2023	2314	1325	2054	2692	1743	2247	3555	3124	1704	2923
ENSG00000009694	75	314	227	256	24	35	39	56	646	58	40	52	471	275	1250	341	354
ENSG00000009709	0	0	0	0	1	3	0	0	1	0	0	1	0	18	794	0	5
ENSG00000009724	288	64	186	212	199	75	312	95	110	152	350	186	314	279	110	307	227
ENSG00000009765	1	4	11	1	1	0	12	5	16	1	12	1	4	0	1	3	34
ENSG00000009780	1025	717	812	794	856	541	701	731	486	909	761	1223	1215	1512	985	1547	1065
ENSG00000009790	1045	4989	1070	670	351	1146	747	535	681	400	855	1977	356	882	701	3559	4147
ENSG00000009830	1036	1748	1549	1733	1058	1092	988	1022	1497	1177	792	1172	2750	1283	1336	1561	920
ENSG00000009844	1764	3454	3843	3619	2276	5804	3172	2291	3677	3570	6302	1867	1875	3707	2348	1132	5070
ENSG00000009950	123	15	177	16	263	251	631	112	97	357	425	14	5747	18	271	1719	34
ENSG00000009954	7016	10107	9217	13606	9593	10439	10975	6398	7435	9037	8378	4442	13378	11462	5098	7561	7444
ENSG00000010017	3191	3523	4348	3366	3579	4040	1959	2176	2721	2737	3108	3075	4109	4608	2967	1899	4878
ENSG00000010030	554	1579	623	187	311	466	147	397	103	201	130	443	308	176	133	1148	2500
ENSG00000010072	963	871	1059	788	791	619	834	814	607	746	896	636	800	1392	507	432	816
ENSG00000010165	3916	2986	2175	2116	2360	2411	1788	2218	2109	3801	1728	1478	2360	2673	1493	1012	2421
